pattern,label,original_price_eur,specs,score,better_than_baseline,kind,brand,source_url,frame_material
"Defy.{0,20}Advanced.{0,3}SL",Giant Defy Advanced SL,,"Hoogste carbonlaag van de Defy (Advanced SL-grade). 2012 (NL): Dura-Ace 10-speed, velrem, P-SLR1 wielen. Vanaf modeljaar 2015 zijn alle carbon Defy's schijfrem (road.cc, juli 2014) — het bouwjaar bepaalt dus het remtype.",,0,bike,Giant,https://web.archive.org/web/20111106032104/http://www.giant-bicycles.com/nl-nl/bikes/model/defy.advanced.sl.0/10547/53482/,carbon
"Defy.{0,20}Advanced",Giant Defy Advanced,,"Hogere carbonlaag dan Composite — niet als comp voor een Defy Composite gebruiken (plan §4). Vanaf modeljaar 2015 is de carbon Defy alleen schijfrem, de aluminium Defy bleef velrem. Advanced Pro valt hier ook onder. Eén patroon voor alle generaties, want het bouwjaar staat zelden in de titel.",,0,bike,Giant,https://road.cc/content/news/123546-giant-launch-all-new-defy-range-disc-brakes,carbon
"Defy.{0,20}Composite.{0,3}1\b",Giant Defy Composite 1,,"2012 (NL): carbon frame (Giant Composite Technology), Shimano Ultegra shifters/derailleurs/remmen/crankset 34/50, Shimano 105 cassette 11-28 10-speed, velrem, Giant P-SL1 wielen.",,0,bike,Giant,https://web.archive.org/web/20111106032110/http://www.giant-bicycles.com/nl-nl/bikes/model/defy.composite.1/10548/53483/,carbon
"Defy.{0,20}Composite.{0,3}2\b",Giant Defy Composite 2,,Instapuitvoering van de carbon Defy Composite. 2012 volgens bikeroar (Amerikaanse spec): SRAM Apex 10-speed. De Nederlandse 2012-spec is niet gearchiveerd en dus niet geverifieerd.,,0,bike,Giant,https://www.bikeroar.com/products/giant/defy-composite-2-2012/specs,carbon
"Defy.{0,20}Composite",Giant Defy Composite (uitvoering onbekend),,"Zelfde frame als de eigen fiets. In 2012 (NL) bestonden Composite 1 en Composite 2; carbon, velrem.",Baseline — eigen fiets (zie mijn_fiets.md),0,bike,Giant,https://web.archive.org/web/20111106032110/http://www.giant-bicycles.com/nl-nl/bikes/model/defy.composite.1/10548/53483/,carbon
"Giant.{0,10}Defy\s*[0-5]\b|Defy.{0,10}Aluxx",Giant Defy 0-5 (aluminium),,"Aluminium (ALUXX SL) Defy. 2012 (NL): Defy 0 Ultegra-shifters/derailleurs met Tiagra-cassette 10-speed, Defy 1 105, Defy 2 Tiagra, Defy 3 Sora 9-speed, Defy 5 Shimano 2300 8-speed; allemaal velrem. Titels met ""Aluxx"" horen hier ook bij: dat is het aluminium frame. Let op: ""Defy Ultegra"" in een titel betekent dus niet vanzelf carbon.",,0,bike,Giant,https://web.archive.org/web/20111106023912/http://www.giant-bicycles.com/nl-nl/bikes/model/defy.0/10549/53485/,aluminium
"Endurace.{0,5}CF.{0,5}SL.{0,20}Disc",Canyon Endurace CF SL(X) Disc,,"Carbon endurance met schijfremmen; de Endurace CF SL Disc kwam in de 2017-lijn (instap: CF SL Disc 8.0, Shimano 105 hydraulisch, £1.799 in het VK). Europrijs niet gevonden, en die verschilt per uitvoering en jaar.",,1,bike,Canyon,https://road.cc/content/tech-news/214047-canyons-2017-road-bikes-now-available-disc-brakes-including-ultimate-and,carbon
"Canyon.{0,10}Endurace",Canyon Endurace (overig),,"Endurance-lijn van Canyon. Bij de introductie van schijfremmen (2017) bleef de aluminium Endurace velrem; zonder ""Disc"" in de titel het remtype dus zelf controleren.",,0,bike,Canyon,https://road.cc/content/tech-news/214047-canyons-2017-road-bikes-now-available-disc-brakes-including-ultimate-and,
"Specialized.{0,15}Roubaix",Specialized Roubaix,,"Carbon endurance. De generatie vanaf 2017 (Future Shock in de balhoofdbuis) is alleen schijfrem, er is geen velremversie; oudere Roubaix wel velrem. Het bouwjaar bepaalt dus het remtype.",,0,bike,Specialized,https://road.cc/content/review/214587-specialized-roubaix-expert-2017,carbon
"Trek.{0,10}Domane",Trek Domane,,Endurance-lijn van Trek. De Domane SLR van 2017 (IsoSpeed voor én achter) kwam zowel met velrem als met schijfrem — remtype controleren in de advertentie.,,0,bike,Trek,https://bikeradar.com/road/news/article/trek-domane-slr-with-front-and-rear-isospeed-launched-46744,
"\bTCR\b.{0,15}Advanced",Giant TCR Advanced,,"""Advanced"" is Giants carbonlaag (zie de Defy-rijen); alle catalogusrijen met bekend materiaal zijn carbon. Advanced Pro en Advanced SL vallen hier ook onder. Catalogus (reference_bike_catalog.csv): 164 uitvoeringen, modeljaren 2010-2027; framemateriaal daar: carbon 159, onbekend 5. Familierij zonder nieuwprijs — de nieuwprijs verschilt per uitvoering en jaar, zie de catalogus.",,0,bike,Giant,https://web.archive.org/web/20130210064721/http://www.giant-bicycles.com:80/nl-nl/bikes/model/tcr.advanced.sl.0.isp/12245/58062/,carbon
