pattern,label,original_price_eur,specs,score,better_than_baseline,kind,brand,source_url
Roam\s?v?3\b,Wahoo Elemnt Roam 3,,Derde generatie. Nieuwprijs niet opgezocht.,,0,computer,Wahoo,https://www.wahoofitness.com/devices/bike-computers/elemnt-roam-buy
Roam\s?v?2\b,Wahoo Elemnt Roam v2,399.99,"Tweede generatie (oktober 2022): kleurenscherm, dual-band GPS. Nieuwprijs bij introductie €399,99.",,0,computer,Wahoo,https://www.bikeradar.com/news/wahoo-elemnt-roam-v2
"Elemnt\s?Roam|Wahoo.{0,10}Roam","Wahoo Elemnt Roam (v1, 2019)",349.99,"Eerste generatie (mei 2019). Nieuwprijs bij introductie €349,99. Een v2/v3 zonder versienummer in de titel valt ook hieronder.",Eigen fietscomputer — gaat niet mee bij verkoop,0,computer,Wahoo,https://www.bikeradar.com/news/wahoo-elemnt-roam
Bolt\s?v?3\b,Wahoo Elemnt Bolt 3,,Derde generatie. Nieuwprijs niet opgezocht.,,0,computer,Wahoo,https://www.wahoofitness.com/devices/bike-computers/elemnt-bolt-buy
"Bolt\s?v?2\b|Bolt.{0,5}2021",Wahoo Elemnt Bolt v2 (2021),279.99,"Tweede generatie (juni 2021). Nieuwprijs bij introductie €279,99.",,0,computer,Wahoo,https://velomotion.net/2021/06/wahoo-elemnt-bolt-test/
"Elemnt\s?Bolt|Wahoo.{0,10}Bolt",Wahoo Elemnt Bolt (v1),,"Eerste generatie; kostte £184,99 in het VK vlak voor de opvolger kwam. Europrijs niet gevonden. Een v2/v3 zonder versienummer in de titel valt ook hieronder.",,0,computer,Wahoo,https://road.cc/content/review/wahoo-elemnt-bolt-286947
Edge\s?540\s?Solar,Garmin Edge 540 Solar,499.99,"April 2023. Adviesprijs €499,99.",,0,computer,Garmin,https://www.emerce.nl/wire/garmin-kondigt-vandaag-edge-540-edge-840-fietscomputers
Edge\s?540,Garmin Edge 540,399.99,"April 2023, alleen knoppen. Adviesprijs €399,99.",,0,computer,Garmin,https://www.emerce.nl/wire/garmin-kondigt-vandaag-edge-540-edge-840-fietscomputers
Edge\s?840\s?Solar,Garmin Edge 840 Solar,599.99,"April 2023. Adviesprijs €599,99.",,0,computer,Garmin,https://www.emerce.nl/wire/garmin-kondigt-vandaag-edge-540-edge-840-fietscomputers
Edge\s?840,Garmin Edge 840,499.99,"April 2023, touchscreen en knoppen. Adviesprijs €499,99.",,0,computer,Garmin,https://www.emerce.nl/wire/garmin-kondigt-vandaag-edge-540-edge-840-fietscomputers
Edge\s?530,Garmin Edge 530,299.99,"Mei 2019, alleen knoppen. Adviesprijs €299,99.",,0,computer,Garmin,https://racefietsblog.nl/garmin-komt-met-nieuwe-edge-530-en-830-fietscomputers/
Edge\s?830,Garmin Edge 830,399.99,"Mei 2019, touchscreen. Adviesprijs €399,99.",,0,computer,Garmin,https://racefietsblog.nl/garmin-komt-met-nieuwe-edge-530-en-830-fietscomputers/
Edge\s?1030(?!\s?Plus),Garmin Edge 1030,599,"Augustus 2017 (Eurobike). Europrijs €599 volgens een Eurobike-verslag, niet uit een persbericht. De latere 1030 Plus valt hier bewust niet onder.",,0,computer,Garmin,https://onabike.cc/2017/08/31/eurobike-2017-my-opinion-on-the-new-garmin-edge-1030/
"Assioma.{0,5}Duo",Favero Assioma Duo,799,"Pedaal-powermeter, dubbelzijdig (mei 2017). Introductieprijs €799.",,0,powermeter,Favero,https://the5krunner.com/2017/05/31/favero-assioma-new-power-meter-pedals-announced-its-bepro-version-2/
"Assioma.{0,5}Uno",Favero Assioma Uno,499,"Pedaal-powermeter, enkelzijdig (mei 2017). Introductieprijs €499.",,0,powermeter,Favero,https://the5krunner.com/2017/05/31/favero-assioma-new-power-meter-pedals-announced-its-bepro-version-2/
"Garmin.{0,10}Rally|Rally\s?(RS|XC|RK)\s?[12]00",Garmin Rally (RS/XC/RK 100/200),,"Pedaal-powermeter (maart 2021), 100 = enkelzijdig, 200 = dubbelzijdig. De bron noemt €1.099 (SPD-SL/Look) en €1.199 (SPD) zonder uit te splitsen naar 100/200 — daarom geen nieuwprijs ingevuld.",,0,powermeter,Garmin,https://opfietsen.nl/gps/garmin/garmin-rally-is-de-nieuwe-powermeter-van-garmin/
