brand,model,model_year,seen_date,category,frame_material,groupset,electronic,speeds,brake_type,weight_kg,new_price,currency,market,price_basis,specs,source_url,spec_source_url
Cube,Aerium C:68X Pro,,2026-09-23,triathlon-time-trial,carbon,SRAM Rival,ja,,schijfrem,10.4,4999.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: Aerium C:68X® Monocoque Advanced Twin Mold Technology, Twin Head Tube, Full Internal Cable Routing, Flat Mount Disc, 12x142mm, AXH; maat: XS, S, M, L; starre vork: Aerium C:68X®, Integrated Cable Routing, Flat Mount Disc, 12x100mm; achterderailleur: Sram Wireless Blips; remmen: Sram Rival AERO E1 (160/160); voorderailleur: Sram Rival AXS™ E1; trapaslagers: Sram DUB Road, 86mm Pressfit; cranks: Sram Rival AXS™ E1, Power Meter Spindle, Dub, 48x35T; cassette: Sram Rival XG-1250 D1, 10-36T; ketting: Sram Rival E1; balhoofdlagers: Acros Integrated, Top 1 1/8"", Bottom 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Schwalbe Pro One Aero, Kevlar, 28-622; zadel: ACID Athis; zadelpen: CUBE Aerium C:68 Aero; gewicht: 10,4 kg",https://www.cube.eu/nl-nl/cube-aerium-c-68x-pro-greenfusion-n-black/1138200,
Cube,Aerium C:68X Race,,2026-09-23,triathlon-time-trial,carbon,Shimano Dura-Ace,ja,,schijfrem,10.1,6299.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: Aerium C:68X® Monocoque Advanced Twin Mold Technology, Twin Head Tube, Full Internal Cable Routing, Flat Mount Disc, 12x142mm, AXH; maat: XS, S, M, L; starre vork: Aerium C:68X®, Integrated Cable Routing, Flat Mount Disc, 12x100mm; achterderailleur: Shimano Dura Ace Di2 ST-R9180; remmen: Shimano Dura Ace BR-R9270, Hydr. Disc Brake, Flat Mount (140/140); voorderailleur: Shimano Ultegra Di2 FD-R8150-F; trapaslagers: Shimano SM-BB71-41B, 86mm Pressfit; cranks: Shimano Ultegra FC-R8100, Hollowtech II, 52x36T, 4iiii Presicion 3+ Powermeter dual side; cassette: Shimano Ultegra CS-R8101, 11-34T; ketting: Shimano CN-M7100; balhoofdlagers: Acros Integrated, Top 1 1/8"", Bottom 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 TT TR, Kevlar, 28-622; zadel: ACID Athis; zadelpen: CUBE Aerium C:68 Aero; gewicht: 10,1 kg",https://www.cube.eu/nl-nl/cube-aerium-c-68x-race-carbon-n-chrome/1138300,
Cube,Aerium C:68X SLT,,2026-09-23,triathlon-time-trial,carbon,Shimano Dura-Ace,ja,,schijfrem,10.1,8999.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: Aerium C:68X® Monocoque Advanced Twin Mold Technology, Twin Head Tube, Full Internal Cable Routing, Flat Mount Disc, 12x142mm, AXH; maat: XS, S, M, L; starre vork: Aerium C:68X®, Integrated Cable Routing, Flat Mount Disc, 12x100mm; achterderailleur: Shimano Dura Ace Di2 ST-R9180; remmen: Shimano Dura Ace BR-R9270, Hydr. Disc Brake, Flat Mount (140/140); voorderailleur: Shimano Dura Ace Di2 FD-R9250-F, Braze-On; trapaslagers: Shimano SM-BB71-41B, 86mm Pressfit; cranks: Shimano Dura Ace FC-R9200, Hollowtech II, 54x40T, 4iiii Precision 3+ Powermeter dual side; cassette: Shimano Dura Ace CS-R9200, 11-30T; ketting: Shimano CN-M9100; balhoofdlagers: Acros Integrated, Top 1 1/8"", Bottom 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 TT TR, Kevlar, 28-622; zadel: ACID Athis; zadelpen: CUBE Aerium C:68 Aero; gewicht: 10,1 kg",https://www.cube.eu/nl-nl/cube-aerium-c-68x-slt-liquidbluegrid-n-chrome/1138700,
Cube,Aerium C:68X SLT Aero,,2026-09-23,triathlon-time-trial,carbon,SRAM Red,ja,,schijfrem,10.3,9999.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: Aerium C:68X® Monocoque Advanced Twin Mold Technology, Twin Head Tube, Full Internal Cable Routing, Flat Mount Disc, 12x142mm, AXH; maat: XS, S, M, L; starre vork: Aerium C:68X®, Integrated Cable Routing, Flat Mount Disc, 12x100mm; achterderailleur: Sram Red eTap Clics; remmen: Sram Red AERO E1 (160/160); trapaslagers: Sram DUB Road, 86mm Pressfit; cranks: Sram Red AXS™ E1 Powermeter Spider, Dub, Aero Chainring 50T; cassette: Sram Red XG-1290 E1, 10-33T; ketting: Sram Red E1 w/Ceramicspeed Wax Coating; balhoofdlagers: Acros Integrated, Top 1 1/8"", Bottom 1 1/4""; stuurlint: Silca Nastro Aero; banden: Schwalbe Pro One Aero, TLR, 28-622; zadel: Selle Italia Watt SF Magnesium; zadelpen: CUBE Aerium C:68 Aero; gewicht: 10,3 kg",https://www.cube.eu/nl-nl/cube-aerium-c-68x-slt-aero-genesisgrid-n-black/1138800,
Cube,Aerium C:68X SLX,,2026-09-23,triathlon-time-trial,carbon,SRAM Force,ja,,schijfrem,10.2,7899.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: Aerium C:68X® Monocoque Advanced Twin Mold Technology, Twin Head Tube, Full Internal Cable Routing, Flat Mount Disc, 12x142mm, AXH; maat: XS, S, M, L; starre vork: Aerium C:68X®, Integrated Cable Routing, Flat Mount Disc, 12x100mm; achterderailleur: Sram Wireless Blips; remmen: Sram Force AERO E1 (160/160); voorderailleur: Sram Force AXS™ E1; trapaslagers: Sram DUB Road, 86mm Pressfit; cranks: Sram Force AXS™ E1, Power Meter Spider, Dub, 50x37T; cassette: Sram Force XG-1270 E1, 10-33T; ketting: Sram Force E1; balhoofdlagers: Acros Integrated, Top 1 1/8"", Bottom 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 TT TR, Kevlar, 28-622; zadel: ACID Athis; zadelpen: CUBE Aerium C:68 Aero; gewicht: 10,2 kg",https://www.cube.eu/nl-nl/cube-aerium-c-68x-slx-spaceship-n-cmyk/1138600,
Cube,Agree C:62 EX,,2026-09-23,road-race,carbon,SRAM Rival,ja,,schijfrem,7.9,2999.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: C:62® Advanced Twin Mold Technology, Full Internal Cable Routing, Integrated Seat Post Clamp, Flat Mount Disc, Storage Box Option, AXH, 12x142mm, UDH™; maat: 50cm, 53cm, 56cm, 58cm, 60cm, 62cm; starre vork: CUBE CSL Evo Aero C:62®, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm; achterderailleur: Sram Rival AXS™ E1; remmen: Sram Rival AXS™ E1 HRD, Hydr. Disc Brake, Flat Mount (160/160); voorderailleur: Sram Rival AXS™ E1; trapaslagers: Sram DUB Road, 86mm Pressfit; cranks: Sram Rival AXS™ E1, Powermeter Spindle, DUB, 48x35T; cassette: Sram Rival XG-1250 D1, 10-36T; ketting: Sram Rival E1; balhoofdlagers: Acros, Top Integrated 1 1/2"" w/ Integrated Cable Routing, Bottom Integrated 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix TR, Kevlar, 30-622; zadel: ACID Nuance Pro; zadelpen: Agree C:62 Aero, Comfort Flex; gewicht: 7,9 kg",https://www.cube.eu/nl-nl/cube-agree-c-62-ex-glacier-n-black/1132100,
Cube,Agree C:62 ONE,,2026-09-23,road-race,carbon,Shimano 105,ja,,schijfrem,8.2,2799.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: C:62® Advanced Twin Mold Technology, Full Internal Cable Routing, Integrated Seat Post Clamp, Flat Mount Disc, Storage Box Option, AXH, 12x142mm, UDH™; maat: 50cm, 53cm, 56cm, 58cm, 60cm, 62cm; starre vork: CUBE CSL Evo Aero C:62®, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm; achterderailleur: Shimano 105 Di2 ST-R7170; remmen: Shimano 105 BR-R7170, Hydr. Disc Brake, Flat Mount (160/160); voorderailleur: Shimano 105 Di2 FD-R7150-F; trapaslagers: Shimano SM-BB71-41B, 86mm Pressfit; cranks: Shimano 105 FC-R7100, Hollowtech II, 50x34T; cassette: Shimano 105 CS-R7101, 11-34T; ketting: Shimano CN-M7100; balhoofdlagers: Acros, Top Integrated 1 1/2"" w/ Integrated Cable Routing, Bottom Integrated 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix TR, Kevlar, 30-622; zadel: ACID Nuance Pro; zadelpen: Agree C:62 Aero, Comfort Flex; gewicht: 8,2 kg",https://www.cube.eu/nl-nl/cube-agree-c-62-one-midnightteal-n-sea/1132000,
Cube,Agree C:62 Pro,,2026-09-23,road-race,carbon,Shimano Ultegra,ja,,schijfrem,7.5,3299.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: C:62® Advanced Twin Mold Technology, Full Internal Cable Routing, Integrated Seat Post Clamp, Flat Mount Disc, Storage Box Option, AXH, 12x142mm, UDH™; maat: 47cm, 50cm, 53cm, 56cm, 58cm, 60cm, 62cm; starre vork: CUBE CSL Evo Aero C:62®, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm; achterderailleur: Shimano Ultegra Di2 ST-R8170; remmen: Shimano Ultegra BR-R8170, Hydr. Disc Brake, Flat Mount (160/160); voorderailleur: Shimano Ultegra Di2 FD-R8150-F; trapaslagers: Shimano SM-BB71-41B, 86mm Pressfit; cranks: Shimano Ultegra FC-R8100, Hollowtech II, 50x34T, 4iiii Precision 3+ Powermeter one side; cassette: Shimano Ultegra CS-R8101, 11-34T; ketting: Shimano CN-M8100; balhoofdlagers: Acros, Top Integrated 1 1/2"" w/ Integrated Cable Routing, Bottom Integrated 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 S-TR, Kevlar, 30-622, Tubeless Ready; zadel: ACID Nuance Pro; zadelpen: Agree C:62 Aero, Comfort Flex; gewicht: 7,5 kg",https://www.cube.eu/nl-nl/cube-agree-c-62-pro-carbon-n-black/1132200,
Cube,Agree C:62 Race,,2026-09-23,road-race,carbon,Shimano Ultegra,ja,,schijfrem,7.6,3699.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: C:62® Advanced Twin Mold Technology, Full Internal Cable Routing, Integrated Seat Post Clamp, Flat Mount Disc, Storage Box Option, AXH, 12x142mm, UDH™; maat: 47cm, 50cm, 53cm, 56cm, 58cm, 60cm, 62cm; starre vork: CUBE CSL Evo Aero C:62®, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm; achterderailleur: Shimano Ultegra Di2 ST-R8170; remmen: Shimano Ultegra BR-R8170, Hydr. Disc Brake, Flat Mount (160/160); voorderailleur: Shimano Ultegra Di2 FD-R8150-F; trapaslagers: Shimano SM-BB71-41B, 86mm Pressfit; cranks: Shimano Ultegra FC-R8100, Hollowtech II, 50x34T, 4iiii Precision 3+ Powermeter one side; cassette: Shimano Ultegra CS-R8101, 11-34T; ketting: Shimano CN-M8100; balhoofdlagers: ACROS, Top Integrated 1 1/2"" w/ Integrated Cable Routing, Bottom Integrated 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 S-TR, Kevlar, 30-622, Tubeless Ready; zadel: ACID Nuance SLT Carbon; zadelpen: Agree C:62 Aero, Comfort Flex; gewicht: 7,6 kg",https://www.cube.eu/nl-nl/cube-agree-c-62-race-chromeblue-n-liquidblue/1132300,
Cube,Agree C:62 SLT AXS,,2026-09-23,road-race,carbon,SRAM Red,ja,,schijfrem,7.2,5299.00,EUR,NL,prijs cube.eu/nl-nl op 2026-09-23,"frame: C:62® Advanced Twin Mold Technology, Full Internal Cable Routing, Integrated Seat Post Clamp, Flat Mount Disc, Storage Box Option, AXH, 12x142mm, UDH™; maat: 50cm, 53cm, 56cm, 58cm, 60cm, 62cm; starre vork: CUBE CSL Evo Aero C:62®, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm; achterderailleur: Sram Red AXS™ E1; remmen: Sram Red AXS™ E1 HRD, Hydr. Disc Brake, Flat Mount (160/160); voorderailleur: Sram Red AXS™ E1; trapaslagers: Sram DUB Road, 86mm Pressfit; cranks: Sram Red AXS™ E1, Powermeter Spider, Dub, 48x35T; cassette: Sram Red XG-1290 E1, 10-36T; ketting: Sram Red E1; balhoofdlagers: Acros, Top Integrated 1 1/2"" w/ Integrated Cable Routing, Bottom Integrated 1 1/4""; stuurlint: ACID Bartape RC 2.5; banden: Continental Grand Prix 5000 S-TR, Kevlar, 30-622, Tubeless Ready; zadel: ACID Nuance SLT Carbon; zadelpen: Agree C:62 Aero, Comfort Flex; gewicht: 7,2 kg",https://www.cube.eu/nl-nl/cube-agree-c-62-slt-axs-blackpearl-n-switchwhite/1132920,
